Variable,Target,Technique,REAL,Synth_Lo,Synth_Hi,Contains_REAL
age,SPI,TabDiff,-0.011,-0.030,0.100,True
age,SPI,TabSyn,-0.011,-0.040,0.020,True
age,SPI,REaLTabFormer,-0.011,0.000,0.060,False
age,SPI,GReaT,-0.011,-0.040,0.070,True
age,SMS,PredLLM,0.003,-0.030,0.090,True
age,SMS,TapTap,0.003,-0.030,0.060,True
age,SMS,CTGAN,0.003,0.040,0.140,False
age,SMS,Tabula,0.003,-0.050,0.050,True
age,SMS,TabDiff,0.003,-0.070,0.000,False
age,SMS,TabSyn,0.003,-0.040,0.040,True
age,SMS,REaLTabFormer,0.003,-0.040,0.020,True
age,SMS,GReaT,0.003,-0.030,0.080,True
ESCS,SMP,PredLLM,0.385,0.320,0.370,False
ESCS,SMP,TapTap,0.385,0.450,0.500,False
ESCS,SMP,CTGAN,0.385,0.360,0.440,True
ESCS,SMP,Tabula,0.385,0.210,0.330,False
ESCS,SMP,TabDiff,0.385,0.260,0.370,False
ESCS,SMP,TabSyn,0.385,0.360,0.450,True
ESCS,SMP,REaLTabFormer,0.385,0.380,0.480,True
ESCS,SMP,GReaT,0.385,0.230,0.280,False
ESCS,SPI,PredLLM,-0.081,-0.020,0.060,False
ESCS,SPI,TapTap,-0.081,-0.120,-0.050,True
ESCS,SPI,CTGAN,-0.081,-0.120,-0.010,True
ESCS,SPI,Tabula,-0.081,-0.090,-0.020,True
ESCS,SPI,TabDiff,-0.081,-0.100,0.000,True
ESCS,SPI,TabSyn,-0.081,-0.180,-0.140,False
ESCS,SPI,REaLTabFormer,-0.081,-0.160,-0.110,False
ESCS,SPI,GReaT,-0.081,-0.140,-0.030,True
ESCS,SMS,PredLLM,0.046,0.030,0.150,True
ESCS,SMS,TapTap,0.046,0.150,0.220,False
ESCS,SMS,CTGAN,0.046,-0.070,0.030,False
ESCS,SMS,Tabula,0.046,0.020,0.050,True
ESCS,SMS,TabDiff,0.046,-0.010,0.080,True
ESCS,SMS,TabSyn,0.046,0.060,0.110,False
ESCS,SMS,REaLTabFormer,0.046,0.040,0.080,True
ESCS,SMS,GReaT,0.046,-0.030,0.060,True
motherEdu,SMP,PredLLM,0.183,0.160,0.270,True
motherEdu,SMP,TapTap,0.183,0.250,0.320,False
motherEdu,SMP,CTGAN,0.183,0.150,0.310,True
motherEdu,SMP,Tabula,0.183,0.130,0.190,True
motherEdu,SMP,TabDiff,0.183,0.080,0.220,True
motherEdu,SMP,TabSyn,0.183,0.120,0.240,True
motherEdu,SMP,REaLTabFormer,0.183,0.290,0.370,False
motherEdu,SMP,GReaT,0.183,0.000,0.140,False
motherEdu,SPI,PredLLM,-0.011,0.000,0.110,False
motherEdu,SPI,TapTap,-0.011,-0.050,0.010,True
motherEdu,SPI,CTGAN,-0.011,-0.100,0.000,True
motherEdu,SPI,Tabula,-0.011,-0.050,0.000,True
motherEdu,SPI,TabDiff,-0.011,-0.090,0.080,True
motherEdu,SPI,TabSyn,-0.011,-0.090,-0.040,False
motherEdu,SPI,REaLTabFormer,-0.011,-0.170,-0.090,False
motherEdu,SPI,GReaT,-0.011,-0.080,0.030,True
motherEdu,SMS,PredLLM,0.043,0.010,0.140,True
motherEdu,SMS,TapTap,0.043,0.070,0.170,False
motherEdu,SMS,CTGAN,0.043,-0.070,0.050,True
motherEdu,SMS,Tabula,0.043,0.040,0.070,True
motherEdu,SMS,TabDiff,0.043,0.010,0.060,True
motherEdu,SMS,TabSyn,0.043,0.040,0.110,True
motherEdu,SMS,REaLTabFormer,0.043,0.060,0.120,False
motherEdu,SMS,GReaT,0.043,-0.020,0.090,True
immig,SMP,PredLLM,0.059,-0.030,0.110,True
immig,SMP,TapTap,0.059,0.000,0.080,True
immig,SMP,CTGAN,0.059,0.070,0.140,False
immig,SMP,Tabula,0.059,-0.070,0.010,False
immig,SMP,TabDiff,0.059,0.020,0.100,True
immig,SMP,TabSyn,0.059,0.050,0.120,True
immig,SMP,REaLTabFormer,0.059,0.140,0.180,False
immig,SMP,GReaT,0.059,-0.120,0.010,False
immig,SPI,PredLLM,0.128,0.150,0.290,False
immig,SPI,TapTap,0.128,0.080,0.180,True
immig,SPI,CTGAN,0.128,0.020,0.110,False
immig,SPI,Tabula,0.128,0.210,0.260,False
immig,SPI,TabDiff,0.128,0.070,0.160,True
immig,SPI,TabSyn,0.128,0.010,0.120,False
immig,SPI,REaLTabFormer,0.128,0.070,0.120,False
immig,SPI,GReaT,0.128,0.150,0.220,False
immig,SMS,PredLLM,0.012,-0.020,0.110,True
immig,SMS,TapTap,0.012,0.000,0.100,True
immig,SMS,CTGAN,0.012,-0.040,0.100,True
immig,SMS,Tabula,0.012,-0.020,0.080,True
immig,SMS,TabDiff,0.012,0.000,0.080,True
immig,SMS,TabSyn,0.012,0.010,0.100,True
immig,SMS,REaLTabFormer,0.012,0.000,0.050,True
immig,SMS,GReaT,0.012,-0.080,-0.010,False
classSize,SMP,PredLLM,0.107,0.050,0.090,False
classSize,SMP,TapTap,0.107,0.110,0.170,False
classSize,SMP,CTGAN,0.107,0.070,0.130,True
classSize,SMP,Tabula,0.107,0.080,0.140,True
classSize,SMP,TabDiff,0.107,0.080,0.150,True
classSize,SMP,TabSyn,0.107,0.050,0.160,True
classSize,SMP,REaLTabFormer,0.107,0.060,0.140,True
classSize,SMP,GReaT,0.107,0.050,0.130,True
classSize,SPI,PredLLM,-0.165,-0.050,0.000,False
classSize,SPI,TapTap,-0.165,-0.180,-0.070,True
classSize,SPI,CTGAN,-0.165,-0.250,-0.180,False
classSize,SPI,Tabula,-0.165,-0.170,-0.110,True
classSize,SPI,TabDiff,-0.165,-0.230,-0.110,True
classSize,SPI,TabSyn,-0.165,-0.170,-0.120,True
classSize,SPI,REaLTabFormer,-0.165,-0.240,-0.190,False
classSize,SPI,GReaT,-0.165,-0.150,-0.110,False
classSize,SMS,PredLLM,0.030,-0.050,0.050,True
classSize,SMS,TapTap,0.030,0.020,0.050,True
classSize,SMS,CTGAN,0.030,0.050,0.110,False
classSize,SMS,Tabula,0.030,-0.030,0.040,True
classSize,SMS,TabDiff,0.030,0.010,0.080,True
classSize,SMS,TabSyn,0.030,-0.050,0.050,True
classSize,SMS,REaLTabFormer,0.030,0.050,0.120,False
classSize,SMS,GReaT,0.030,-0.010,0.080,True
schoolSize,SMP,PredLLM,0.116,0.030,0.170,True
schoolSize,SMP,TapTap,0.116,0.070,0.130,True
schoolSize,SMP,CTGAN,0.116,0.100,0.170,True
schoolSize,SMP,Tabula,0.116,0.040,0.120,True
schoolSize,SMP,TabDiff,0.116,0.050,0.120,True
schoolSize,SMP,TabSyn,0.116,0.100,0.190,True
schoolSize,SMP,REaLTabFormer,0.116,0.220,0.250,False
schoolSize,SMP,GReaT,0.116,-0.010,0.090,False
schoolSize,SPI,PredLLM,0.018,0.140,0.260,False
schoolSize,SPI,TapTap,0.018,-0.140,-0.020,False
schoolSize,SPI,CTGAN,0.018,-0.030,0.100,True
schoolSize,SPI,Tabula,0.018,-0.010,0.110,True
schoolSize,SPI,TabDiff,0.018,-0.040,0.090,True
schoolSize,SPI,TabSyn,0.018,-0.120,0.010,False
schoolSize,SPI,REaLTabFormer,0.018,0.050,0.110,False
schoolSize,SPI,GReaT,0.018,-0.080,0.050,True
schoolSize,SMS,PredLLM,-0.057,-0.010,0.090,False
schoolSize,SMS,TapTap,-0.057,0.000,0.100,False
schoolSize,SMS,CTGAN,-0.057,-0.060,0.050,True
schoolSize,SMS,Tabula,-0.057,-0.040,0.020,False
schoolSize,SMS,TabDiff,-0.057,-0.090,-0.050,True
schoolSize,SMS,TabSyn,-0.057,-0.090,0.000,True
schoolSize,SMS,REaLTabFormer,-0.057,0.000,0.050,False
schoolSize,SMS,GReaT,-0.057,-0.150,0.000,True
